ID,Zone,Date,Len,Age
4605,WFM-01,10/6/2012,545,13
4606,WFM-01,10/6/2012,501,19
4607,WFM-01,10/6/2012,433,10
4608,WFM-01,10/6/2012,534,20
4609,WFM-01,10/6/2012,540,14
4610,WFM-01,10/6/2012,681,23
4611,WFM-01,10/6/2012,485,16
4612,WFM-01,10/6/2012,541,19
4613,WFM-01,10/6/2012,554,18
4614,WFM-01,10/6/2012,600,15
4615,WFM-01,10/6/2012,515,11
4616,WFM-01,10/6/2012,538,19
4617,WFM-01,10/6/2012,581,12
4618,WFM-01,10/6/2012,531,15
4619,WFM-01,10/6/2012,441,8
4620,WFM-01,10/6/2012,541,18
4621,WFM-01,10/6/2012,575,18
4622,WFM-01,10/6/2012,514,18
4623,WFM-01,10/6/2012,576,20
4624,WFM-01,10/6/2012,551,19
4625,WFM-01,10/6/2012,600,18
4626,WFM-01,10/6/2012,465,19
4627,WFM-01,10/6/2012,555,21
4628,WFM-01,10/6/2012,553,10
4629,WFM-01,10/6/2012,433,9
4630,WFM-01,10/6/2012,520,22
4631,WFM-01,10/6/2012,534,19
4633,WFM-01,10/6/2012,542,19
4634,WFM-01,10/6/2012,522,13
4635,WFM-01,10/6/2012,505,19
4636,WFM-01,10/6/2012,455,8
4637,WFM-01,10/6/2012,615,19
4638,WFM-01,10/6/2012,472,13
4639,WFM-01,10/6/2012,550,16
4640,WFM-01,10/6/2012,545,16
4641,WFM-01,10/6/2012,484,9
4642,WFM-01,10/6/2012,438,8
4643,WFM-01,10/6/2012,530,21
4644,WFM-01,10/6/2012,504,16
4645,WFM-01,10/6/2012,476,12
4646,WFM-01,10/6/2012,531,17
4647,WFM-01,10/6/2012,545,18
4648,WFM-01,10/6/2012,522,18
4649,WFM-01,10/6/2012,507,17
4650,WFM-01,10/6/2012,595,19
5001,WFM-01,10/27/2012,510,14
5002,WFM-01,10/27/2012,483,10
5003,WFM-01,10/27/2012,573,20
5004,WFM-01,10/27/2012,538,12
5005,WFM-01,10/27/2012,493,10
