Year,Basin,TL,Age,Sex
2010,Winnibigoshish,233,1,.
2010,Cut Foot Sioux,352,3,.
2010,Winnibigoshish,365,3,.
2010,Winnibigoshish,369,3,.
2010,Winnibigoshish,375,3,.
2010,Winnibigoshish,382,3,.
2010,Cut Foot Sioux,391,4,.
2010,Winnibigoshish,395,4,.
2010,Cut Foot Sioux,410,4,.
2010,Winnibigoshish,410,4,.
2010,Winnibigoshish,411,4,.
2010,Winnibigoshish,423,4,.
2010,Winnibigoshish,427,4,.
2010,Winnibigoshish,429,4,.
2010,Cut Foot Sioux,432,4,.
2010,Winnibigoshish,435,4,.
2010,Winnibigoshish,437,4,.
2010,Winnibigoshish,444,4,.
2010,Winnibigoshish,447,4,.
2010,Winnibigoshish,451,4,.
2010,Winnibigoshish,452,4,.
2010,Winnibigoshish,455,4,.
2010,Winnibigoshish,468,4,.
2010,Winnibigoshish,471,4,.
2010,Winnibigoshish,471,4,.
2010,Winnibigoshish,471,4,.
2010,Winnibigoshish,400,5,.
2010,Winnibigoshish,442,5,.
2010,Cut Foot Sioux,456,5,.
2010,Winnibigoshish,460,5,.
2010,Winnibigoshish,465,5,.
2010,Winnibigoshish,466,5,.
2010,Winnibigoshish,468,5,.
2010,Winnibigoshish,476,5,.
2010,Winnibigoshish,476,5,.
2010,Winnibigoshish,483,5,.
2010,Winnibigoshish,493,5,.
2010,Winnibigoshish,499,5,.
2010,Winnibigoshish,501,5,.
2010,Winnibigoshish,548,7,.
2010,Cut Foot Sioux,464,8,.
2010,Winnibigoshish,623,8,.
2010,Winnibigoshish,602,9,.
2010,Winnibigoshish,556,12,.
2010,Winnibigoshish,239,1,F
2010,Winnibigoshish,244,1,F
2010,Cut Foot Sioux,269,1,F
2010,Winnibigoshish,308,2,F
2010,Winnibigoshish,312,2,F
2010,Winnibigoshish,315,2,F
2010,Winnibigoshish,324,2,F
2010,Winnibigoshish,329,2,F
2010,Winnibigoshish,313,3,F
2010,Winnibigoshish,317,3,F
2010,Winnibigoshish,324,3,F
2010,Winnibigoshish,330,3,F
2010,Winnibigoshish,330,3,F
2010,Winnibigoshish,331,3,F
2010,Winnibigoshish,332,3,F
2010,Winnibigoshish,333,3,F
2010,Winnibigoshish,337,3,F
2010,Winnibigoshish,338,3,F
2010,Winnibigoshish,339,3,F
2010,Winnibigoshish,339,3,F
2010,Winnibigoshish,340,3,F
2010,Winnibigoshish,342,3,F
2010,Winnibigoshish,343,3,F
2010,Winnibigoshish,343,3,F
2010,Winnibigoshish,344,3,F
2010,Winnibigoshish,345,3,F
2010,Winnibigoshish,345,3,F
2010,Winnibigoshish,348,3,F
2010,Winnibigoshish,350,3,F
2010,Winnibigoshish,351,3,F
2010,Winnibigoshish,351,3,F
2010,Winnibigoshish,351,3,F
2010,Winnibigoshish,351,3,F
2010,Winnibigoshish,355,3,F
2010,Winnibigoshish,355,3,F
2010,Winnibigoshish,358,3,F
2010,Winnibigoshish,359,3,F
2010,Winnibigoshish,359,3,F
2010,Winnibigoshish,360,3,F
2010,Winnibigoshish,360,3,F
2010,Winnibigoshish,363,3,F
2010,Winnibigoshish,364,3,F
2010,Winnibigoshish,364,3,F
2010,Winnibigoshish,364,3,F
2010,Winnibigoshish,365,3,F
2010,Winnibigoshish,366,3,F
2010,Winnibigoshish,366,3,F
2010,Winnibigoshish,367,3,F
2010,Winnibigoshish,367,3,F
2010,Winnibigoshish,368,3,F
2010,Winnibigoshish,368,3,F
2010,Winnibigoshish,368,3,F
2010,Winnibigoshish,371,3,F
2010,Winnibigoshish,371,3,F
2010,Winnibigoshish,371,3,F
2010,Winnibigoshish,372,3,F
2010,Winnibigoshish,373,3,F
2010,Winnibigoshish,374,3,F
2010,Winnibigoshish,374,3,F
2010,Winnibigoshish,376,3,F
2010,Winnibigoshish,376,3,F
2010,Winnibigoshish,377,3,F
2010,Winnibigoshish,377,3,F
2010,Winnibigoshish,377,3,F
2010,Winnibigoshish,378,3,F
2010,Winnibigoshish,379,3,F
2010,Winnibigoshish,380,3,F
2010,Winnibigoshish,380,3,F
2010,Winnibigoshish,381,3,F
2010,Winnibigoshish,381,3,F
2010,Cut Foot Sioux,382,3,F
2010,Winnibigoshish,383,3,F
2010,Winnibigoshish,383,3,F
2010,Winnibigoshish,384,3,F
2010,Winnibigoshish,386,3,F
2010,Winnibigoshish,387,3,F
2010,Winnibigoshish,388,3,F
2010,Winnibigoshish,391,3,F
2010,Winnibigoshish,395,3,F
2010,Winnibigoshish,395,3,F
2010,Winnibigoshish,404,3,F
2010,Winnibigoshish,356,4,F
2010,Winnibigoshish,368,4,F
2010,Winnibigoshish,370,4,F
2010,Winnibigoshish,380,4,F
2010,Winnibigoshish,384,4,F
2010,Winnibigoshish,390,4,F
2010,Winnibigoshish,392,4,F
2010,Winnibigoshish,394,4,F
2010,Cut Foot Sioux,395,4,F
2010,Winnibigoshish,399,4,F
2010,Winnibigoshish,401,4,F
2010,Winnibigoshish,406,4,F
2010,Winnibigoshish,406,4,F
2010,Cut Foot Sioux,409,4,F
2010,Winnibigoshish,409,4,F
2010,Winnibigoshish,411,4,F
2010,Winnibigoshish,412,4,F
2010,Winnibigoshish,413,4,F
